Account address,Show boosts,Notify on new posts,Languages
kevluo@techhub.social,true,false,
laughter_forgetting@thefire.work,true,false,
su@0ne.day,true,false,
sogg@libraryland.social,true,false,
wancw@g0v.social,true,false,
cimeesia@mastodonapp.uk,true,false,
Ohno@mastodon.world,true,false,
wise@mastodon.world,true,false,
blueskuei@g0v.social,true,false,
oliver661@mastodon.online,true,false,
yeahwong@cryptodon.lol,true,false,
huhta@metalhead.club,true,false,
yiqq@nofan.xyz,true,false,
moongate@o3o.ca,true,false,
austie@mastodon.world,true,false,
zczhou@mastodon.world,true,false,
ringsaturn@m.cmx.im,true,false,
z12789@mastodon.world,true,false,
nixzhu@mastodon.social,true,false,
pengpengwan@mastodon.world,true,false,
eveqq@mastodon.social,true,false,
swind@mastodon.world,true,false,
cattail@mastodon.world,true,false,
le0p9n@mastodon.world,true,false,
ptntp@mas.to,true,false,
mereorange@mstdn.social,true,false,
hy39119416@mastodon.world,true,false,
shaneqi@mastodon.social,true,false,
conan@qoto.org,true,false,
stalkertarkovsky@mastodon.world,true,false,
dreamsky@g0v.social,true,false,
slgray@mstdn.social,true,false,
hirasawayui@mastodon.world,true,false,
sining@mastodon.world,true,false,
kisses@m.cmx.im,true,false,
kosaka@bgme.me,true,false,
byte2byte@mastodon.social,true,false,
jutton@fedibird.com,true,false,
macrumors@mastodon.social,true,false,
adam_wang@mastodon.social,true,false,
digitalpig@mastodon.social,true,false,
Anxonli@mastodon.world,true,false,
bigzaphod@mastodon.social,true,false,
rse43@m.rse43.com,true,false,
OscarGong@mastodon.social,true,false,
codefarmer@mastodon.world,true,false,
Amos_xiaoxu@o3o.ca,true,false,
WildCat@mastodon.world,true,false,
zillionk@social.butnot.today,true,false,
wyq@tea.codes,true,false,
shaoyanmin@mastodon.world,true,false,
3c@mastodon.world,true,false,
A_glimpse@alive.bar,true,false,
fity@mas.to,true,false,
Gargron@mastodon.social,true,false,
TheWeeOwl@mastodon.art,true,false,
SteamedFish@steamedfish.org,true,false,
Puuuhair@mastodon.social,true,false,
proton@m.cmx.im,true,false,
solf@mastodon.world,true,false,
houkanshan@mastodon.gamedev.place,true,false,
frank@nyan.live,true,false,
icelander@mstdn.ca,true,false,
tpm2dot0@wxw.moe,true,false,
paul@tapbots.social,true,false,
zxuan@o3o.ca,true,false,
MeanwhileinCanada@ohai.social,true,false,
toughq@mastodon.world,true,false,
sonicxp@techhub.social,true,false,
Blanboom@mastodon.social,true,false,
tapbots@tapbots.social,true,false,
ghibli@mstdn.social,true,false,
Masterle@mastodon.social,true,false,
luosheng@mas.to,true,false,
medium@me.dm,true,false,
wpyzone@mastodon.world,true,false,
elk@webtoo.ls,true,false,
Boyangcong@mastodon.world,true,false,
ivory@tapbots.social,true,false,
s68s@mastodon.world,true,false,
tooot@xmflsct.com,true,false,
masst@mstdn.jp,true,false,
icky6249@gts.noc.blue,true,false,
iklein@mstdn.social,true,false,
skyoh@mastodon.world,true,false,
oakvale5@mastodon.social,true,false,
9to5Mac@mastodon.online,true,false,
epliar@mastodon.online,true,false,
syan@mstdn.ca,true,false,
sampandu@mastodon.world,true,false,
terrychan@mastodon.world,true,false,
forestpine@pixelfed.social,true,false,
msnbc@mastodon.online,true,false,
simonbs@mastodon.social,true,false,
freewizard@mastodon.social,true,false,
ketmorco@fosstodon.org,true,false,
BleepingComputer@infosec.exchange,true,false,
Coyote@mastodon.world,true,false,
pokolovsky@mastodon.social,true,false,
kokoinali@mastodon.au,true,false,
ljyou001@mas.to,true,false,
hz@social.hnws.me,true,false,
szqt@mastodon.world,true,false,
Hoppinglife@mastodon.hoppinglife.com,true,false,
metabolist@mastodon.social,true,false,
hxueh@mas.to,true,false,
hinechaos@mas.to,true,false,
idealhack@mastodon.social,true,false,
Hyomirs@vivaldi.net,true,false,
cssts@g0v.social,true,false,
YHNdnzj@mastodon.social,true,false,
Qiri@fedi.tesaguri.club,true,false,
felixonmars@g0v.social,true,false,
frankyuyong@mastodon.world,true,false,
lee92@twit.social,true,false,
29uOltNmqN@mstdn.social,true,false,
guoli@mastodon.world,true,false,
rocry@mastodon.world,true,false,
haohailong@mastodon.social,true,false,
tldk@mastodon.social,true,false,
Jessica_ET@mastodon.social,true,false,
peakvision@mastodon.world,true,false,
j@social.hnws.me,true,false,
libei@mastodon.social,true,false,
pi@vnil.de,true,false,
signalapp@mastodon.world,true,false,
solohan83@nextham.duckdns.org,true,false,
hdcola@mastodon.world,true,false,
cnbeta@pokemon.men,true,false,
Leeing@mastodon.social,true,false,
PCMag@mastodon.social,true,false,
CNN@c.im,true,false,
ithome@hello.2heng.xin,true,false,
studyro@mastodon.world,true,false,
albert@douchi.space,true,false,
onweb@mastodon.world,true,false,
wogong@douchi.space,true,false,
chazeon@o3o.ca,true,false,
jiahaoguo@mastodon.social,true,false,
Mulioyster@alive.bar,true,false,
fulkrum@qoto.org,true,false,
self@treehouse.systems,true,false,
keroro@mas.to,true,false,
rousongca@mastodon.world,true,false,
kaiix@mastodon.social,true,false,
KidLee@infosec.exchange,true,false,
luke_xu_sh@m.cmx.im,true,false,
monocat@social.tchncs.de,true,false,
oktobor@m.cmx.im,true,false,
cuicat@mstdn.ca,true,false,
niuzi@m.cmx.im,true,false,
tsla@mstdn.ca,true,false,
vancion@mastodon.world,true,false,
mrseacow@m.cmx.im,true,false,
CeliaDChen@techhub.social,true,false,
ryangao@mastodon.social,true,false,
oseack@mstdn.ca,true,false,
theverge@mastodon.social,true,false,
rockia@mastodon.world,true,false,
ciceroxiao@mas.to,true,false,
RD@mastodon.social,true,false,
long@mas.to,true,false,
zeelx@mastodon.social,true,false,
sylee@g0v.social,true,false,
rikki_lv@mstdn.social,true,false,
feep@mastodon.world,true,false,
Csher@mastodon.world,true,false,
Dyjoe@c.im,true,false,
stever@zirk.us,true,false,
Sduby@mastodon.world,true,false,
shuizhongyueming@sself.co,true,false,
anonymous@cdrom.tokyo,true,false,
iunie@mastodon.social,true,false,
duumvir@mastodon.world,true,false,
Bzmario@mas.to,true,false,
thomas@bewater.social,true,false,
hmsea@mastodon.social,true,false,
acette@m.cmx.im,true,false,
haoeric@techhub.social,true,false,
fivestone@fivest.one,true,false,
lnsoso@mastodon.world,true,false,
fundon@fosstodon.org,true,false,
oldgun@mastodon.social,true,false,
miemiedad@sfba.social,true,false,
IDontSocial@mstdn.social,true,false,
sun@noc.social,true,false,
szeseong@mastodon.world,true,false,
wilhg@fosstodon.org,true,false,
akira@nacchan.ca,true,false,
hitian@mastodon.world,true,false,
andiechu@o3o.ca,true,false,
ainopara@home.social,true,false,
momok@mastodon.social,true,false,
xding@techhub.social,true,false,
ux90ed@mastodon.social,true,false,
yylyyl@toot.quebec,true,false,
piggybox@sigmoid.social,true,false,
SailKevin@mas.to,true,false,
krrw@mastodon.world,true,false,
ry@mstdn.ca,true,false,
hexyoungs@social.linux.pizza,true,false,
seanl@mastodon.world,true,false,
owenwater@mstdn.social,true,false,
s2marine@o3o.ca,true,false,
chengluffy@m.cmx.im,true,false,
phacevrising@mastodonapp.uk,true,false,
didiwei@qoto.org,true,false,
i4__P@mastodon.social,true,false,
mw@f.darksair.org,true,false,
ajax_lee@techhub.social,true,false,
ushuz@q12.im,true,false,
josh_rm@rainyme.ca,true,false,
huoju@m.devep.net,true,false,
hhnosportslife@m.cmx.im,true,false,
Mastodon@mastodon.social,true,false,
clowwindy@mastodon.world,true,false,
